A,农、林、牧、渔业,,,
1091,    石棉、云母矿采选,1091, 石棉、云母矿采选,
1092,    石墨、滑石采选,1092, 石墨、滑石采选,
1093,    宝石、玉石采选,1093, 宝石、玉石开采,
1099,    其他未列明非金属矿采选,1099, 其他非金属矿采选,  更名
11,开采辅助活动,, ,
1110,  煤炭开采和洗选辅助活动,0690,其他煤炭采选,  新增，原0690部分内容调到此类
1120,  石油和天然气开采辅助活动,0790, 与石油和天然气开采有关的服务活动,  更名
1190,  其他开采辅助活动,1100,其他采矿业,  新增，原1100部分内容调到此类
12,其他采矿业,, ,
1200,  其他采矿业,1100, 其他采矿业,  内容变更，原1100部分内容调出
C,制造业,, ,
13,农副食品加工业,, ,
1310,  谷物磨制,1310, 谷物磨制,
1320,  饲料加工     ,1320, 饲料加工,  内容变更，原1320对应此类，原1352部分内容到此类
,,1352, 肉制品及副产品加工,
133,  植物油加工,, ,
1331,    食用植物油加工,1331, 食用植物油加工,
1332,    非食用植物油加工,1332, 非食用植物油加工,
1340,  制糖业,1340, 制糖,
135,  屠宰及肉类加工,, ,
1351,    牲畜屠宰,1351, 畜禽屠宰,  新增，将原1351分解
1352,    禽类屠宰,1351, 畜禽屠宰,  新增，将原1351分解
1353,    肉制品及副产品加工,1352, 肉制品及副产品加工,  内容变更，原1352部分内容调出
136,  水产品加工,, ,
1361,    水产品冷冻加工,1361, 水产品冷冻加工,
1362,    鱼糜制品及水产品干腌制加工,1362, 鱼糜制品及水产品干腌制加工,
1363,    水产饲料制造,1363, 水产饲料制造,
1364,    鱼油提取及制品制造,1364, 鱼油提取及制品的制造,
1369,    其他水产品加工,1369, 其他水产品加工,
137,  蔬菜、水果和坚果加工,, ,
1371,    蔬菜加工,1370, 蔬菜、水果和坚果加工,  新增，将原1370分解
1372,    水果和坚果加工,1370, 蔬菜、水果和坚果加工,  新增，将原1370分解
139,  其他农副食品加工  ,, ,
1391,    淀粉及淀粉制品制造,1391, 淀粉及淀粉制品的制造,
1392,    豆制品制造,1392, 豆制品制造,
1393,    蛋品加工      ,1393, 蛋品加工,
1399,    其他未列明农副食品加工  ,1399, 其他未列明的农副食品加工,
14,食品制造业,, ,
141,  焙烤食品制造,, ,
1411,    糕点、面包制造,1411, 糕点、面包制造,
1419,    饼干及其他焙烤食品制造,1419, 饼干及其他焙烤食品制造,
142,  糖果、巧克力及蜜饯制造,, ,
1421,    糖果、巧克力制造,1421, 糖果、巧克力制造,
1422,    蜜饯制作,1422, 蜜饯制作,
143,  方便食品制造,, ,
1431,    米、面制品制造,1431, 米、面制品制造,
1432,    速冻食品制造,1432, 速冻食品制造,
1439,    方便面及其他方便食品制造,1439, 方便面及其他方便食品制造,
1440,  乳制品制造,1440, 液体乳及乳制品制造,  更名
145,  罐头食品制造,, ,
1451,    肉、禽类罐头制造,1451, 肉、禽类罐头制造,
1452,    水产品罐头制造,1452, 水产品罐头制造,
1453,    蔬菜、水果罐头制造,1453, 蔬菜、水果罐头制造,
1459,    其他罐头食品制造,1459, 其他罐头食品制造,
146,  调味品、发酵制品制造,, ,
1461,    味精制造,1461, 味精制造,
1462,    酱油、食醋及类似制品制造,1462, 酱油、食醋及类似制品的制造,
1469,    其他调味品、发酵制品制造,1469, 其他调味品、发酵制品制造,
149,  其他食品制造,, ,
1491,    营养食品制造,1491, 营养、保健食品制造,  新增，将原1491分解
1492,    保健食品制造,1491, 营养、保健食品制造,  新增，将原1491分解
1493,    冷冻饮品及食用冰制造,1492, 冷冻饮品及食用冰制造,
1494,    盐加工   ,1493, 盐加工,
1495,    食品及饲料添加剂制造,1494, 食品及饲料添加剂制造,
1499,    其他未列明食品制造,1499, 其他未列明的食品制造,
15,酒、饮料和精制茶制造业,, ,
151,  酒的制造,, ,
1511,    酒精制造,1510, 酒精制造,
1512,    白酒制造,1521, 白酒制造, 
1513,    啤酒制造,1522, 啤酒制造,
1514,    黄酒制造,1523, 黄酒制造,
1515,    葡萄酒制造,1524, 葡萄酒制造,
1519,    其他酒制造,1529, 其他酒制造,
152,  饮料制造,, ,
1521,    碳酸饮料制造,1531, 碳酸饮料制造,
1522,    瓶（罐）装饮用水制造,1532, 瓶（罐）装饮用水制造,
1523,    果菜汁及果菜汁饮料制造,1533, 果菜汁及果菜汁饮料制造,
1524,    含乳饮料和植物蛋白饮料制造,1534, 含乳饮料和植物蛋白饮料制造,
1525,    固体饮料制造,1535, 固体饮料制造,
1529,    茶饮料及其他饮料制造,1539, 茶饮料及其他软饮料制造,
1530,  精制茶加工,1540, 精制茶加工,
16,烟草制品业 ,, ,
1610,  烟叶复烤,1610, 烟叶复烤,
1620,  卷烟制造,1620, 卷烟制造,
1690,  其他烟草制品制造,1690, 其他烟草制品加工,
17,纺织业,, ,
171,  棉纺织及印染精加工,, ,
1711,    棉纺纱加工,1711, 棉、化纤纺织加工,  新增，将原1711分解
1712,    棉织造加工,1711, 棉、化纤纺织加工,  新增，将原1711分解
1713,    棉印染精加工,1712, 棉、化纤印染精加工,  更名
172,  毛纺织及染整精加工,, ,
1721,    毛条和毛纱线加工,1721, 毛条加工,  更名，内容变更，原1721归入此类，原1722部分内容调到此类
,,1722, 毛纺织,
1722,    毛织造加工,1722, 毛纺织,  更名，内容变更，原1722部分内容调出
1723,    毛染整精加工,1723, 毛染整精加工,
173,  麻纺织及染整精加工,, ,
1731,    麻纤维纺前加工和纺纱,1730, 麻纺织,  新增，将原1730分解
1732,    麻织造加工,1730, 麻纺织,  新增，将原1730分解
1733,    麻染整精加工,1730, 麻纺织,  新增，将原1730分解
174,  丝绢纺织及印染精加工,, ,
1741,    缫丝加工,1741, 缫丝加工,
1742,    绢纺和丝织加工,1742, 绢纺和丝织加工,　调整，将原1742部分内容调出
1743,    丝印染精加工,1743, 丝印染精加工,　调整，将原1743部分内容调出
175,  化纤织造及印染精加工,,,
1751,    化纤织造加工,1742,绢纺和丝织加工,  新增，将原1742部分内容调到此类
1752,    化纤织物染整精加工,1743,丝印染精加工,新增，将原1743部分内容调到此类
176,  针织或钩针编织物及其制品制造,, ,
1761,    针织或钩针编织物织造,1761, 棉、化纤针织品及编织品制造,  新增，原1761、1762、1763、1769部分内容调到此类
,,1762, 毛针织品及编织品制造,
,,1763, 丝针织品及编织品制造,
,,1769, 其他针织品及编织品制造,
1762,    针织或钩针编织物印染精加工,1761, 棉、化纤针织品及编织品制造,  新增，原1761、1762、1763、1763、1769部分内容调到此类
,,1762, 毛针织品及编织品制造,
,,1763, 丝针织品及编织品制造,
,,1769, 其他针织品及编织品制造,
1763,    针织或钩针编织品制造,1761, 棉、化纤针织品及编织品制造,  新增，原1761、1762、1763、1763、1769部分内容调到此类
,,1762, 毛针织品及编织品制造,
,,1763, 丝针织品及编织品制造,
,,1769, 其他针织品及编织品制造,
177,  家用纺织制成品制造,, ,
1771,    床上用品制造,1751, 棉及化纤制品制造,  新增，原1751、1752、1753、1754、1759部分内容调到此类
,,1752, 毛制品制造,
,,1753, 麻制品制造,
,,1754, 丝制品制造,
,,1759, 其他纺织制成品制造,
1772,    毛巾类制品制造,1751, 棉及化纤制品制造,  新增，原1751、1752、1753、1754、1759部分内容调到此类
